,,exemplar_length,exemplar_length,exemplar_length,exemplar_length,exemplar_length,binary_acc1,bertscore,bertscore
,,count,min,max,mean,nunique,mean,mean,std
llm,threat_model,,,,,,,,
claude-3.5,logreg,189,229,2660,1266.100529100529,143,0.05291005291005291,0.65318330365514,0.03996555363498013
claude-3.5,roberta,189,229,2660,1266.100529100529,143,0.05291005291005291,0.65318330365514,0.03996555363498013
claude-3.5,svm,189,229,2660,1266.100529100529,143,0.05291005291005291,0.65318330365514,0.03996555363498013
gemma-2,logreg,189,229,2660,1266.100529100529,143,0.05291005291005291,0.7353262898152467,0.05810957601294221
gemma-2,roberta,189,229,2660,1266.100529100529,143,0.05291005291005291,0.7353262898152467,0.05810957601294221
gemma-2,svm,189,229,2660,1266.100529100529,143,0.05291005291005291,0.7353262898152467,0.05810957601294221
gpt-4o,logreg,189,229,2660,1266.100529100529,143,0.09523809523809523,0.8079275506198722,0.050677588211744284
gpt-4o,roberta,189,229,2660,1266.100529100529,143,0.09523809523809523,0.8079275506198722,0.050677588211744284
gpt-4o,svm,189,229,2660,1266.100529100529,143,0.09523809523809523,0.8079275506198722,0.050677588211744284
llama-3.1,logreg,189,229,2660,1266.100529100529,143,0.042328042328042326,0.7624227984872445,0.05435078905489458
llama-3.1,roberta,189,229,2660,1266.100529100529,143,0.042328042328042326,0.7624227984872445,0.05435078905489458
llama-3.1,svm,189,229,2660,1266.100529100529,143,0.042328042328042326,0.7624227984872445,0.05435078905489458
ministral,logreg,189,229,2660,1266.100529100529,143,0.07407407407407407,0.7505146280798332,0.05917727192582639
ministral,roberta,189,229,2660,1266.100529100529,143,0.07407407407407407,0.7505146280798332,0.05917727192582639
ministral,svm,189,229,2660,1266.100529100529,143,0.07407407407407407,0.7505146280798332,0.05917727192582639
