Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,sbert ↑
EBG,basic paraphrase,logreg,Claude-3.5,"0.149 ± 0.041 [0.075, 0.223]","0.480 ± 0.058 [0.371, 0.589]","0.145 ± 0.041 [0.074, 0.222]","2.056 ± 0.087 [1.893, 2.218]","0.811 ± 0.003 [0.805, 0.817]","0.677 ± 0.004 [0.671, 0.684]","0.887 ± 0.003 [0.880, 0.892]"
EBG,basic paraphrase,logreg,Ministral,"0.042 ± 0.033 [0.006, 0.094]","0.151 ± 0.041 [0.081, 0.232]","0.055 ± 0.027 [0.016, 0.101]","2.210 ± 0.086 [2.044, 2.367]","0.930 ± 0.002 [0.925, 0.934]","0.489 ± 0.004 [0.482, 0.497]","0.115 ± 0.012 [0.093, 0.138]"
EBG,basic paraphrase,logreg,GPT-4o,"0.407 ± 0.057 [0.296, 0.509]","0.615 ± 0.057 [0.508, 0.724]","0.303 ± 0.052 [0.206, 0.404]","2.347 ± 0.087 [2.187, 2.513]","0.615 ± 0.006 [0.604, 0.625]","0.819 ± 0.004 [0.812, 0.826]","0.947 ± 0.002 [0.942, 0.951]"
EBG,basic paraphrase,logreg,Llama-3.1,"0.037 ± 0.028 [0.005, 0.083]","0.147 ± 0.041 [0.074, 0.225]","0.048 ± 0.025 [0.013, 0.091]","2.624 ± 0.090 [2.456, 2.795]","0.933 ± 0.002 [0.930, 0.938]","0.498 ± 0.004 [0.490, 0.506]","0.119 ± 0.012 [0.096, 0.142]"
EBG,basic paraphrase,logreg,Gemma-2,"0.028 ± 0.026 [0.003, 0.069]","0.155 ± 0.043 [0.075, 0.232]","0.052 ± 0.024 [0.016, 0.095]","2.282 ± 0.093 [2.097, 2.445]","0.933 ± 0.002 [0.929, 0.937]","0.494 ± 0.004 [0.486, 0.501]","0.113 ± 0.012 [0.092, 0.136]"
EBG,basic paraphrase,svm,Claude-3.5,"0.172 ± 0.043 [0.094, 0.251]","0.340 ± 0.056 [0.236, 0.448]","0.107 ± 0.035 [0.044, 0.168]","3.498 ± 0.047 [3.404, 3.584]","0.811 ± 0.003 [0.805, 0.817]","0.677 ± 0.004 [0.671, 0.684]","0.887 ± 0.003 [0.880, 0.892]"
EBG,basic paraphrase,svm,Ministral,"0.074 ± 0.032 [0.026, 0.130]","0.167 ± 0.044 [0.087, 0.248]","0.067 ± 0.028 [0.020, 0.115]","3.979 ± 0.047 [3.890, 4.065]","0.930 ± 0.002 [0.925, 0.934]","0.489 ± 0.004 [0.482, 0.497]","0.115 ± 0.012 [0.093, 0.138]"
EBG,basic paraphrase,svm,GPT-4o,"0.410 ± 0.057 [0.302, 0.514]","0.700 ± 0.053 [0.598, 0.798]","0.169 ± 0.042 [0.093, 0.249]","4.364 ± 0.036 [4.296, 4.432]","0.615 ± 0.006 [0.604, 0.625]","0.819 ± 0.004 [0.812, 0.826]","0.947 ± 0.002 [0.942, 0.951]"
EBG,basic paraphrase,svm,Llama-3.1,"0.046 ± 0.034 [0.007, 0.102]","0.119 ± 0.037 [0.054, 0.189]","0.052 ± 0.025 [0.015, 0.100]","4.395 ± 0.035 [4.327, 4.460]","0.933 ± 0.002 [0.930, 0.938]","0.498 ± 0.004 [0.490, 0.506]","0.119 ± 0.012 [0.096, 0.142]"
EBG,basic paraphrase,svm,Gemma-2,"0.075 ± 0.031 [0.025, 0.128]","0.159 ± 0.043 [0.083, 0.237]","0.060 ± 0.026 [0.019, 0.107]","3.616 ± 0.058 [3.510, 3.728]","0.933 ± 0.002 [0.929, 0.937]","0.494 ± 0.004 [0.486, 0.501]","0.113 ± 0.012 [0.092, 0.136]"
EBG,basic paraphrase,roberta,Claude-3.5,"0.497 ± 0.058 [0.389, 0.608]","0.687 ± 0.054 [0.585, 0.788]","0.459 ± 0.057 [0.349, 0.566]","1.495 ± 0.077 [1.354, 1.643]","0.811 ± 0.003 [0.805, 0.817]","0.677 ± 0.004 [0.671, 0.684]","0.887 ± 0.003 [0.880, 0.892]"
EBG,basic paraphrase,roberta,Ministral,"0.014 ± 0.019 [0.001, 0.037]","0.122 ± 0.037 [0.055, 0.190]","0.032 ± 0.022 [0.006, 0.067]","1.502 ± 0.082 [1.348, 1.657]","0.930 ± 0.002 [0.925, 0.934]","0.489 ± 0.004 [0.482, 0.497]","0.115 ± 0.012 [0.093, 0.138]"
EBG,basic paraphrase,roberta,GPT-4o,"0.557 ± 0.059 [0.444, 0.665]","0.737 ± 0.050 [0.635, 0.821]","0.526 ± 0.057 [0.419, 0.634]","1.511 ± 0.081 [1.358, 1.664]","0.615 ± 0.006 [0.604, 0.625]","0.819 ± 0.004 [0.812, 0.826]","0.947 ± 0.002 [0.942, 0.951]"
EBG,basic paraphrase,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.104 ± 0.036 [0.043, 0.168]","0.029 ± 0.020 [0.005, 0.060]","1.425 ± 0.080 [1.271, 1.568]","0.933 ± 0.002 [0.930, 0.938]","0.498 ± 0.004 [0.490, 0.506]","0.119 ± 0.012 [0.096, 0.142]"
EBG,basic paraphrase,roberta,Gemma-2,"0.014 ± 0.019 [0.001, 0.037]","0.122 ± 0.038 [0.059, 0.197]","0.030 ± 0.021 [0.005, 0.062]","1.538 ± 0.082 [1.386, 1.694]","0.933 ± 0.002 [0.929, 0.937]","0.494 ± 0.004 [0.486, 0.501]","0.113 ± 0.012 [0.092, 0.136]"
RJ,basic paraphrase,logreg,Llama-3.1,"0.026 ± 0.027 [0.002, 0.066]","0.254 ± 0.050 [0.161, 0.350]","0.049 ± 0.028 [0.010, 0.093]","0.807 ± 0.103 [0.629, 1.014]","0.914 ± 0.003 [0.908, 0.920]","0.547 ± 0.006 [0.537, 0.558]","0.517 ± 0.009 [0.500, 0.534]"
RJ,basic paraphrase,logreg,GPT-4o,"0.073 ± 0.048 [0.013, 0.160]","0.423 ± 0.063 [0.304, 0.540]","0.104 ± 0.036 [0.042, 0.168]","0.707 ± 0.087 [0.551, 0.875]","0.638 ± 0.007 [0.625, 0.652]","0.821 ± 0.005 [0.812, 0.831]","0.900 ± 0.005 [0.891, 0.909]"
RJ,basic paraphrase,logreg,Gemma-2,"0.036 ± 0.035 [0.002, 0.087]","0.207 ± 0.053 [0.114, 0.309]","0.058 ± 0.030 [0.014, 0.109]","0.618 ± 0.089 [0.459, 0.788]","0.912 ± 0.003 [0.906, 0.918]","0.537 ± 0.006 [0.527, 0.548]","0.515 ± 0.010 [0.497, 0.535]"
RJ,basic paraphrase,logreg,Ministral,"0.083 ± 0.031 [0.031, 0.139]","0.200 ± 0.046 [0.117, 0.288]","0.078 ± 0.030 [0.031, 0.134]","0.683 ± 0.092 [0.521, 0.863]","0.904 ± 0.003 [0.898, 0.910]","0.545 ± 0.006 [0.534, 0.556]","0.531 ± 0.009 [0.513, 0.548]"
RJ,basic paraphrase,logreg,Claude-3.5,"0.020 ± 0.023 [0.001, 0.055]","0.286 ± 0.059 [0.176, 0.396]","0.043 ± 0.025 [0.009, 0.086]","0.733 ± 0.094 [0.566, 0.918]","0.837 ± 0.004 [0.829, 0.846]","0.672 ± 0.006 [0.662, 0.683]","0.793 ± 0.008 [0.779, 0.809]"
RJ,basic paraphrase,svm,Llama-3.1,"0.108 ± 0.037 [0.049, 0.179]","0.235 ± 0.049 [0.146, 0.328]","0.072 ± 0.029 [0.026, 0.127]","3.845 ± 0.025 [3.799, 3.891]","0.914 ± 0.003 [0.908, 0.920]","0.547 ± 0.006 [0.537, 0.558]","0.517 ± 0.009 [0.500, 0.534]"
RJ,basic paraphrase,svm,GPT-4o,"0.144 ± 0.043 [0.071, 0.226]","0.459 ± 0.057 [0.355, 0.569]","0.103 ± 0.034 [0.044, 0.165]","3.603 ± 0.038 [3.533, 3.677]","0.638 ± 0.007 [0.625, 0.652]","0.821 ± 0.005 [0.812, 0.831]","0.900 ± 0.005 [0.891, 0.909]"
RJ,basic paraphrase,svm,Gemma-2,"0.047 ± 0.040 [0.005, 0.120]","0.272 ± 0.052 [0.176, 0.369]","0.071 ± 0.030 [0.026, 0.126]","3.634 ± 0.036 [3.567, 3.703]","0.912 ± 0.003 [0.906, 0.918]","0.537 ± 0.006 [0.527, 0.548]","0.515 ± 0.010 [0.497, 0.535]"
RJ,basic paraphrase,svm,Ministral,"0.040 ± 0.035 [0.004, 0.098]","0.244 ± 0.048 [0.155, 0.337]","0.075 ± 0.032 [0.025, 0.128]","3.684 ± 0.034 [3.620, 3.748]","0.904 ± 0.003 [0.898, 0.910]","0.545 ± 0.006 [0.534, 0.556]","0.531 ± 0.009 [0.513, 0.548]"
RJ,basic paraphrase,svm,Claude-3.5,"0.091 ± 0.033 [0.039, 0.154]","0.268 ± 0.056 [0.167, 0.375]","0.081 ± 0.031 [0.029, 0.136]","3.604 ± 0.029 [3.548, 3.658]","0.837 ± 0.004 [0.829, 0.846]","0.672 ± 0.006 [0.662, 0.683]","0.793 ± 0.008 [0.779, 0.809]"
RJ,basic paraphrase,roberta,Llama-3.1,"0.025 ± 0.025 [0.002, 0.062]","0.192 ± 0.046 [0.106, 0.273]","0.045 ± 0.023 [0.012, 0.084]","1.616 ± 0.078 [1.469, 1.761]","0.914 ± 0.003 [0.908, 0.920]","0.547 ± 0.006 [0.537, 0.558]","0.517 ± 0.009 [0.500, 0.534]"
RJ,basic paraphrase,roberta,GPT-4o,"0.165 ± 0.041 [0.092, 0.240]","0.369 ± 0.058 [0.253, 0.473]","0.163 ± 0.042 [0.089, 0.244]","1.383 ± 0.074 [1.248, 1.527]","0.638 ± 0.007 [0.625, 0.652]","0.821 ± 0.005 [0.812, 0.831]","0.900 ± 0.005 [0.891, 0.909]"
RJ,basic paraphrase,roberta,Gemma-2,"0.026 ± 0.030 [0.002, 0.066]","0.253 ± 0.054 [0.154, 0.351]","0.053 ± 0.028 [0.013, 0.100]","1.143 ± 0.100 [0.961, 1.337]","0.912 ± 0.003 [0.906, 0.918]","0.537 ± 0.006 [0.527, 0.548]","0.515 ± 0.010 [0.497, 0.535]"
RJ,basic paraphrase,roberta,Ministral,"0.019 ± 0.020 [0.001, 0.050]","0.182 ± 0.045 [0.098, 0.263]","0.043 ± 0.023 [0.010, 0.084]","1.681 ± 0.076 [1.539, 1.825]","0.904 ± 0.003 [0.898, 0.910]","0.545 ± 0.006 [0.534, 0.556]","0.531 ± 0.009 [0.513, 0.548]"
RJ,basic paraphrase,roberta,Claude-3.5,"0.146 ± 0.041 [0.071, 0.222]","0.263 ± 0.050 [0.169, 0.357]","0.152 ± 0.041 [0.076, 0.225]","1.854 ± 0.088 [1.691, 2.019]","0.837 ± 0.004 [0.829, 0.846]","0.672 ± 0.006 [0.662, 0.683]","0.793 ± 0.008 [0.779, 0.809]"
